"url","post_date","date_count","time_of_fetching","header","content","image","video","likes","num_comments","num_shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02HbvqDoNHo5Fp3i9EtTFDw8tKKRsYGBij4DXepyWRTiVwofjuQTeGiisqxPrGC1FVl&id=100075537623150&__cft__[0]=AZWQ53I9TbkPjtFUo3VCrRqn_r3vQnH37t5UbO5TXqnN8wARHW7nB6sFrr3yzzrTD8yvvWMGyuCH9b7-6z40tb04euDn4-cWOrMh4oQD7NgC23CNF2FU8xghdp3gKWq5-UjL2r3i0uchjgnLSfWiGcwmvKbTzaNTkCuBhh7XiA0SUA-C8CRU4B_4z7YdC3UFhqyaieOp3OA5wecmgnMKNeaI&__tn__=%2CO%2CP-R","2024-04-17","2","2024-05-06 12:04:16.154567","","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438896597_441735061687744_2717155549612608684_n.jpg?stp=dst-jpg_s640x640&_nc_cat=109&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=JQ7c7AdRAEwQ7kNvgH4xHM-&_nc_oc=Adhir_EUi5zEnd8cxE5vffSycTnsLcYd3_17_zrL6azHWohFxJVwvhRtdZC_Yctt2wE&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBPt1abEU-maw-BRov18NmmnuCwGfN67lXbVfSB5LtMXw&oe=663E6A9E","","1.1K","49 comments","184 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid037BtPTd2fYz6hKfJua3SHVpA5nALNHr16ETUQWXPZi8C7gnV6ocuDrZA4VUPt9opBl&id=100075537623150&__cft__[0]=AZX_H9orii5ad3eZk_qFFXpxYqZKOKqm4LIFdsG9ERbQm3BT9lJxQDTlDudBOYZuGA2CGkI7LzeXEyadrX_dRIuIltlzqx4BhathjlSwAn5ng8IDMty0qwdrcj9oFLxQkUg1nCx5nKXcJqvfkOGuB_Yz5R_l1TPsdxSg5dhZE9JdPkWgRXjqVs_WNQCZgxnQpMZIM9nCK5JSLffbXy1zVJzg&__tn__=%2CO%2CP-R","2024-04-16","1","2024-05-06 12:04:29.395359","","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438039372_441462821714968_4626898122811272021_n.jpg?stp=dst-jpg_s640x640&_nc_cat=105&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rZ1n1r1iK60Q7kNvgGuI8WT&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfDPTg9LI5mymAHNF43J3ALzubQgkWKAxwU40tinL7UTGA&oe=663E8892","","1.3K","69 comments","273 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0aXHv1RxMPtNCr6vCc9KJUDeVLb89VBdHk95kbn4CTXGVG9P9Vdk9M5a19MPADPqwl&id=100075537623150&__cft__[0]=AZXfnUUqhqFiky17zRMDFRty9OfgsR-_PWi8uJ5RAXkCHVr-iq5QTfhLVAUCzrnfd0bjajVJD-qGkq11lhfPWRtrz1gvzMv8juWvS4Tsozp06aIAOG0WkSBmWp9JavGSnCCsIAh6GU3JDAI122sR6HxpHho80fHzLB8OX8Odmb-2SrXduvC7uLkBob-XdMGaGIct0C46mgO-ANKLPz8sebEr&__tn__=%2CO%2CP-R","2024-04-16","2","2024-05-06 12:06:47.681071","Sono piccolo ma non mollo!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/437893486_441208878407029_4016280420177489224_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=4cPubmkCVv8Q7kNvgGMUpLP&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfDvXsNeZ3kTvPYBpky0fkZcAueQy9A-L1Ueg874e0mK8A&oe=663E98A3","","1.1K","63 comments","101 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0EaYDLmoW76XKDDUA1933qqGVDKTXcGeAZwpjZCaS2sFFV3yBAeuQZubgCVyQdPv9l&id=100075537623150&__cft__[0]=AZWfc_YLFWd24THaHvzbPDOjUK5xE6UNEIlolqHbEfDskShOYHaWSc3QZpokLnXF8z8-_Dwj8xxDGfAuzX6gJw16modUee8jrzrDhjSrMFCgMcEIlaKw7TM8S6jm_gaCJAluS9AvpHcya0Wl5zQm-RZ4_Ew_XyWnznQc2Tgt3uRsGX8-gbucQ6uPOrxyFOnW7mznaEfO-MSwAP-BOz9V7K5o&__tn__=%2CO%2CP-R","2024-04-16","3","2024-05-06 12:07:55.702114","Produrre prodotti Italiani, ti rende orgoglioso... W Gli Agricoltori Italiani... EChe Dio li Benedica!!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438036613_441164208411496_5685819145291913968_n.jpg?stp=dst-jpg_s720x720&_nc_cat=106&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=dMZQcl4hCUcQ7kNvgHS2_Aw&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBoRdr0nczHcxN6jJ33R03w5I774C_c18qr1dYOCwQp0w&oe=663E72BE","","1K","45 comments","114 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0RkvH41fTqRJcwXaGgmzy9fTyAvHCD3VNZjXdub74SEQvkrgB19Z7siHgokgkQg6Pl&id=100075537623150&__cft__[0]=AZXTSdoPH2ZRXLP299O2oXTIH_bFUuryw1Hn28HOVYyhTolI7lJWa2ebTPV2CC5MUaUoeqYB0p28s8htmRVgHfq7Hjh8DdD1beYf4nqVdYCV45nnILZARFSYbPRD_zrjL_wRCQEP9zZBcSwzJmrihwWZSfodIKqSFRYp2GYwTwJRlvLVTa4-pRbnKwRDyuhiuJ02CPJAGzsDpEaKtL_-WaA1&__tn__=%2CO%2CP-R","2024-04-15","1","2024-05-06 12:08:24.718930","","Se non difendi anche tu l'agricoltura Italiana, presto, non solo mangerai schifezze, ma rischi anche di non mangiare più!","","","4.6K","273 comments","1.8K shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02DfF3dQxDngWSW8mz7NZnBjmBjfj5XpHEwXpxEZx1yBKJrzfLfmCibVgJfcGMLWtjl&id=100075537623150&__cft__[0]=AZUCKlmodxvqDVdwEm3RuHcqF5XLB3-dFdwAGsnFya93ZuCKt2zo9uQ56Ph6nG0KX5WAvIopNTjQ-8yBe7dFsED3q0xqdha28dkrYP04wxz6-t2s77tJeckYKqQxTmxTzTJctw0hMyKmDD6ZtpQtfxnt6LFUN-lyERhh91bXbCkOVSkqaboK7RAm-x77KuM8FdS2A6cxDYSMdecXqsaPSe7L&__tn__=%2CO%2CP-R","2024-04-15","2","2024-05-06 12:10:42.406199","","","","blob:https://www.facebook.com/d692f02c-83a9-49ca-9c91-47466c931163","529","44 comments","129 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0X7QNNCNjBzxHLgM66FAcm8v76LYoFvSKqGwUVC9mzC7vUbmsvHED8RvJJWwsVyStl&id=100075537623150&__cft__[0]=AZUiNjv3uBSYKb8rh-SIJ9cbh5sTxDVV3MEIrKjGOLUFegppfeyNvlso4MsyNCnB_8myCT8fs2Jpaz8DYOQg9XiCbJQN5iaQ62h_9cPf9jE8uWE5S1vJmOPzGYyfSU5_KmFcHPhK57tee_IirdpLFLnnMieRG80ip5oWV4Yg0zT1d4bahUIpSMtlF_DR3VP0hiOfxH5Y0m5uOCfrb7RSXd8n&__tn__=%2CO%2CP-R","2024-04-15","3","2024-05-06 12:11:15.921271","Quest'uomo, è stato grande.. Anche lui ha lottato contro la falsità e gli abusi.. Che Dio lo Benedica!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/438039964_440554408472476_7794448195280537604_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=KiohjsoFi50Q7kNvgEznOD1&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBuam0D_50-k3GxEYrrU9cwMHEB12oqdPtT7yct7e9gIA&oe=663E8465","","1.9K","183 comments","367 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0tivACRDu1xEsnxy5PRYhFkYEfvThhvxRRjxTG8E7YE29Z96m6KcsP1XEEhiexZKVl&id=100075537623150&__cft__[0]=AZWwzhWodCTW4A7IUd1Vd5rmKWZh3Af242VGW-v0UEMYZ_LeiQdlBqnlZJZ-ZKuQGaGl4n4UsbwLFNRr8pa38kKw2fn9ypH1iLWw124HCvJmGQEdor5zFb2aXv2_0P3sXBl8TPjYqSkaiZ2iGhb_RmYBoVt4U30VBcgOWkFRAanQrL6QU4G4f1K_tXb7SGsoyoSbISovzJeGkZwjBw5wqL1p&__tn__=%2CO%2CP-R","2024-04-14","1","2024-05-06 12:13:10.350802","Oggi a Ceccano, grande partecipazione dei cittadini.. Complimenti a tutti gli organizzatori","","","blob:https://www.facebook.com/20fd8cde-19b9-4ab4-b7ed-8e10a0b70cca","1.2K","67 comments","201 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid0jXCzRyqJ5K41qPJvPYCmrAm8mSuiVA6Wo2R3fzR8Xc5CVHVuQiRekcJUg5MeLfZal&id=100075537623150&__cft__[0]=AZUnZCKU1EjW1M_IqKB-A2ZW__zZ3dYcyPZQZWoLuBFF_Rjd9NWvwfW33Qhsp4WBse0BmpqjoeDMdUUi8npbg1LqVa5akH3yJq0iFj_JUoyDmxmTdPJ2wdHZ5zClmUltbitd8hGZyQSS2ex4llY7-N1YTzBanjZ2H5BAQo431gsuT_92yWGR3mOAfhWR2yzrCQhmA67P3OjCiISoP5wXsOVM&__tn__=%2CO%2CP-R","2024-04-14","2","2024-05-06 12:14:12.600288","Oggi a Ceccano... La terra, è la nostra vita!","","","blob:https://www.facebook.com/c4f2683d-0d8c-49aa-9353-2af126c3d9eb","792","34 comments","85 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02npKjSC5dSzadhcUfPXWn73z2Dc7TQ5CWdYhwmQUZFuzD2JUPA8jn6u7dH2pUoADtl&id=100075537623150&__cft__[0]=AZWn2V6k_PdS725Io2-if5diQ-dMyzYYJOmNHbJIyebOC5-OuUrM8zXS4qjq-ZSps0aZj_DSbolLrllQSesRPP9nKzhxSkb4CV4SWatOeEyH3dOHDc7BlxCAR27XpL6zDQzFxfNp5R7cyECx78UqgSjX9rKC0xGQ4trNYpxozlTCpGOPhkMVLM-k7m0yOg2xZfXrYmr1wBKyRJfho2vPQoF0&__tn__=%2CO%2CP-R","2024-04-14","3","2024-05-06 12:14:38.718906","Eccezionali e buonissimi carciofi romaneschi ITALIANI..Aiutaci a difendere la nostra terra vogliono rubarci tutto, insieme li FERMEREMO!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/434873086_439981981863052_3262902365925975839_n.jpg?stp=dst-jpg_s640x640&_nc_cat=111&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ZHaiilDcRjkQ7kNvgFUxC74&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBbJoiUmSLbKeI3oeeVeu4XKYFdW4-JSxdKVxvjEeE2tA&oe=663E99AF","","2.8K","176 comments","704 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid036rfa5xCLADxtLJdgg99YATuijRbbPjWCbNDHzMyYvkx364764LwPK9beAwxWHXp1l&id=100075537623150&__cft__[0]=AZWFgmsMag8T7uZvhRPLySUA2Gxd1vB1Arecc2p_wSnlhgk7EWMDTuT0ivp2THel_bDh14_anlhf6XxtQIt97lwNd4R96gSq1LoRh0C1AIx9J2EBDwnCITZB6ymSXsz2ZnCyQsXMEWlEK3hlZ5w6y9ipDRaWx5WUHp8TOAcRxr-kbjsJHZscdr8KPvRkZg3goiLUWOtKn145kGUGvQnpNPM0&__tn__=%2CO%2CP-R","2024-04-14","4","2024-05-06 12:16:58.150997","Buona Domenica a tutti, w gli Agricoltori Italiabi e che Dio ci Benedica!!","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/437408443_439925871868663_4549898540770748496_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bamoq-J9_fkQ7kNvgFbAfHU&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfAukVL3CnfOyZKpkQa7EKEYV4_enpvXqXoc9NHlv216_A&oe=663E8F85","","1.2K","103 comments","76 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02FW3t1d5ojeoq7AfVpS41CLhTVT2PwkxoRSyXzqP6hav4628DtMPt2ZEN2Cr6wvvJl&id=100075537623150&__cft__[0]=AZXWUBtHvRfKpSKRcW0MinNuefwR_qDKHR7OetIGb__67vnUP5XsPnuO8vSE9ftdsA5CN79b9JuGDEf4BiiHPV4lQ7AWFWmgZ1R8hw0-ARFB3u8HOsaBkoPdkZAAiCx_EiJWsgQ25yT3wW74CaBJJAriwnGD3fhQVYuvCWyEaa1wRO7DvVSx-OmaP8AcozSixs4ZMk6JVKqW5U67EwLy0Qf7&__tn__=%2CO%2CP-R","2024-04-13","1","2024-05-06 12:17:41.262924","","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/437579942_439652955229288_7277523220888775861_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TyrDQtsiI5wQ7kNvgHR7e6C&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfD4bCwvJMVRBQd50g52wxGL2s3KhTWzr1xpfD86oevpyQ&oe=663E7C37","","884","60 comments","169 shares"
"https://www.facebook.com/permalink.php?story_fbid=pfbid02kp1rBavkaEa1fLRZuS2bQtUpnQA37vrW5o87uLGJVXdcGieFoBZyeZfyvDcYv4Hdl&id=100075537623150&__cft__[0]=AZX6D1NJ5UDJ1T6xgdV00qCO6UzX394j1KqpZ3s9DH6cL-u-lrmj4_rMeB3QrqWWHL585uGlpYBeREbL-HPkZd9wwsDxVo__AcKeOHXoBNTvoArEErUoly2utaRoCDOgX-4c-8pJtxB7biUH1VO8Mx-NkI912vk2_S1C28Q9PlgFhDANDKHEiAFouoG7gpvkVRDGc6eXGn3mg2OcE1JgokOx_Atcwt-B8pDyXwfPESmyMg&__tn__=%2CO%2CP-R","2024-04-13","2","2024-05-06 12:19:00.075736","Ricordatevi domani a Ceccano","","https://scontent.fmxp5-1.fna.fbcdn.net/v/t39.30808-6/434854716_438485845345999_6082759053647423172_n.jpg?stp=dst-jpg_s720x720&_nc_cat=103&_nc_cb=99be929b-ddd1f5c1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Y1OgkV11HFgQ7kNvgEeqMqu&_nc_ht=scontent.fmxp5-1.fna&oh=00_AfBMH0cY4GL82DjhU3Gm1wwiyJxlxvCVdcKcInYbROuFiA&oe=663E7FB9","","204","5 comments","26 shares"
