Year,Member State,Region,Economic Size,Arable land (ha),Economic size N,Total Utilised Agricultural Area (ha)
2004,(IT) Italy,(281) Marche,(1) 2 000  < 8 000 EUR,5.89,6.5,6.66
2004,(IT) Italy,(281) Marche,(2) 8 000  < 25 000 EUR,11.98,14.9,12.82
2004,(IT) Italy,(281) Marche,(3) 25 000  < 50 000 EUR,20.27,36.6,23.19
2004,(IT) Italy,(281) Marche,(4) 50 000  < 100 000 EUR,40.69,69.5,42.53
2004,(IT) Italy,(281) Marche,(5) 100 000  < 500 000 EUR,90.43,190.9,96.41
2004,(IT) Italy,(302) Campania,(1) 2 000  < 8 000 EUR,1.84,6.6,2.68
2004,(IT) Italy,(302) Campania,(2) 8 000  < 25 000 EUR,3.74,15.7,5.49
2004,(IT) Italy,(302) Campania,(3) 25 000  < 50 000 EUR,9.52,34.7,12.55
2004,(IT) Italy,(302) Campania,(4) 50 000  < 100 000 EUR,7.14,70.4,11.75
2004,(IT) Italy,(302) Campania,(5) 100 000  < 500 000 EUR,18.55,249.8,26.49
2004,(IT) Italy,(302) Campania,(6) >= 500 000 EUR,39.45,1069.5,50.69
2004,(IT) Italy,(303) Calabria,(1) 2 000  < 8 000 EUR,2.92,6.800000000000002,4.09
2004,(IT) Italy,(303) Calabria,(2) 8 000  < 25 000 EUR,3.36,16.2,6.21
2004,(IT) Italy,(303) Calabria,(3) 25 000  < 50 000 EUR,9.58,35.1,14.13
2004,(IT) Italy,(303) Calabria,(4) 50 000  < 100 000 EUR,20.57,68.60000000000001,29.07
2004,(IT) Italy,(303) Calabria,(5) 100 000  < 500 000 EUR,47.96,188.3,73.59
2004,(IT) Italy,(301) Molise,(1) 2 000  < 8 000 EUR,7.2,6.5,7.9
2004,(IT) Italy,(301) Molise,(2) 8 000  < 25 000 EUR,13.97,15.5,15.59
2004,(IT) Italy,(301) Molise,(3) 25 000  < 50 000 EUR,24.41,36.1,26.03
2004,(IT) Italy,(301) Molise,(4) 50 000  < 100 000 EUR,35.66,67.4,38.73
2004,(IT) Italy,(301) Molise,(5) 100 000  < 500 000 EUR,43.37,202.1,52.72
2004,(IT) Italy,(301) Molise,(6) >= 500 000 EUR,12.89,895.0,16.1
2004,(IT) Italy,(292) Abruzzo,(1) 2 000  < 8 000 EUR,3.19,7.0,4.28
2004,(IT) Italy,(292) Abruzzo,(2) 8 000  < 25 000 EUR,5.3,16.9,7.84
2004,(IT) Italy,(292) Abruzzo,(3) 25 000  < 50 000 EUR,13.91,34.7,17.37
2004,(IT) Italy,(292) Abruzzo,(4) 50 000  < 100 000 EUR,25.39,65.10000000000001,33.79
2004,(IT) Italy,(292) Abruzzo,(5) 100 000  < 500 000 EUR,45.01,175.0,55.3
2004,(IT) Italy,(320) Sicilia,(1) 2 000  < 8 000 EUR,4.67,6.5,5.59
2004,(IT) Italy,(320) Sicilia,(2) 8 000  < 25 000 EUR,3.8,15.7,6.72
2004,(IT) Italy,(320) Sicilia,(3) 25 000  < 50 000 EUR,10.21,35.6,16.37
2004,(IT) Italy,(320) Sicilia,(4) 50 000  < 100 000 EUR,24.04,68.0,31.55
2004,(IT) Italy,(320) Sicilia,(5) 100 000  < 500 000 EUR,70.09,210.5,90.08
2004,(IT) Italy,(320) Sicilia,(6) >= 500 000 EUR,62.61,1652.8,101.45
2004,(IT) Italy,(312) Basilicata,(1) 2 000  < 8 000 EUR,8.97,6.4,10.34
2004,(IT) Italy,(312) Basilicata,(2) 8 000  < 25 000 EUR,14.59,15.4,17.55
2004,(IT) Italy,(312) Basilicata,(3) 25 000  < 50 000 EUR,26.13,34.5,40.56
2004,(IT) Italy,(312) Basilicata,(4) 50 000  < 100 000 EUR,50.07,67.10000000000001,59.52
2004,(IT) Italy,(312) Basilicata,(5) 100 000  < 500 000 EUR,139.21,164.6,150.88
2004,(IT) Italy,(330) Sardegna,(2) 8 000  < 25 000 EUR,13.61,16.7,17.99
2004,(IT) Italy,(330) Sardegna,(3) 25 000  < 50 000 EUR,25.43,36.8,37.23
2004,(IT) Italy,(330) Sardegna,(4) 50 000  < 100 000 EUR,47.38,70.0,65.1
2004,(IT) Italy,(330) Sardegna,(5) 100 000  < 500 000 EUR,93.93,202.6,132.03
2004,(IT) Italy,(330) Sardegna,(6) >= 500 000 EUR,105.32,818.7,116.3
2004,(IT) Italy,(311) Puglia,(1) 2 000  < 8 000 EUR,2.33,6.5,4.01
2004,(IT) Italy,(311) Puglia,(2) 8 000  < 25 000 EUR,4.8,15.0,8.370000000000001
2004,(IT) Italy,(311) Puglia,(3) 25 000  < 50 000 EUR,6.8,36.0,13.97
2004,(IT) Italy,(311) Puglia,(4) 50 000  < 100 000 EUR,18.1,69.2,33.02
2004,(IT) Italy,(311) Puglia,(5) 100 000  < 500 000 EUR,29.59,191.5,56.22
2004,(IT) Italy,(311) Puglia,(6) >= 500 000 EUR,82.78,851.9000000000001,196.52
2005,(IT) Italy,(221) Valle d'Aosta,(1) 2 000  < 8 000 EUR,2.76,6.9,3.23
2005,(IT) Italy,(221) Valle d'Aosta,(2) 8 000  < 25 000 EUR,17.99,16.1,30.6
2005,(IT) Italy,(221) Valle d'Aosta,(3) 25 000  < 50 000 EUR,72.3,35.5,82.45
2005,(IT) Italy,(221) Valle d'Aosta,(4) 50 000  < 100 000 EUR,160.07,64.60000000000001,178.31
2005,(IT) Italy,(222) Piemonte,(1) 2 000  < 8 000 EUR,3.11,6.800000000000002,3.9
2005,(IT) Italy,(222) Piemonte,(2) 8 000  < 25 000 EUR,6.68,15.9,8.91
2005,(IT) Italy,(222) Piemonte,(3) 25 000  < 50 000 EUR,14.09,36.7,17.32
2005,(IT) Italy,(222) Piemonte,(4) 50 000  < 100 000 EUR,23.78,70.0,26.94
2005,(IT) Italy,(222) Piemonte,(5) 100 000  < 500 000 EUR,55.32,215.2,63.6
2005,(IT) Italy,(222) Piemonte,(6) >= 500 000 EUR,113.26,1575.5,121.55
2005,(IT) Italy,(241) Trentino,(2) 8 000  < 25 000 EUR,0.36,15.8,2.08
2005,(IT) Italy,(241) Trentino,(3) 25 000  < 50 000 EUR,1.43,37.2,5.45
2005,(IT) Italy,(241) Trentino,(4) 50 000  < 100 000 EUR,0.27,73.60000000000001,8.68
2005,(IT) Italy,(241) Trentino,(5) 100 000  < 500 000 EUR,8.41,189.5,23.85
2005,(IT) Italy,(243) Veneto,(1) 2 000  < 8 000 EUR,4.15,6.6,4.46
2005,(IT) Italy,(243) Veneto,(2) 8 000  < 25 000 EUR,5.39,15.1,6.45
2005,(IT) Italy,(243) Veneto,(3) 25 000  < 50 000 EUR,10.32,35.2,12.8
2005,(IT) Italy,(243) Veneto,(4) 50 000  < 100 000 EUR,14.78,70.2,17.77
2005,(IT) Italy,(243) Veneto,(5) 100 000  < 500 000 EUR,31.99,213.4,39.82
2005,(IT) Italy,(243) Veneto,(6) >= 500 000 EUR,83.35000000000001,1649.4,91.33
2005,(IT) Italy,(242) Alto Adige,(2) 8 000  < 25 000 EUR,0.38,16.3,6.27
2005,(IT) Italy,(242) Alto Adige,(3) 25 000  < 50 000 EUR,0.19,35.9,7.53
2005,(IT) Italy,(242) Alto Adige,(4) 50 000  < 100 000 EUR,1.05,72.4,9.21
2005,(IT) Italy,(242) Alto Adige,(5) 100 000  < 500 000 EUR,6.14,161.7,19.03
2005,(IT) Italy,(230) Lombardia,(2) 8 000  < 25 000 EUR,8.22,16.7,9.870000000000001
2005,(IT) Italy,(230) Lombardia,(3) 25 000  < 50 000 EUR,16.39,34.4,18.69
2005,(IT) Italy,(230) Lombardia,(4) 50 000  < 100 000 EUR,26.47,74.3,29.19
2005,(IT) Italy,(230) Lombardia,(5) 100 000  < 500 000 EUR,51.21,222.8,55.25
2005,(IT) Italy,(230) Lombardia,(6) >= 500 000 EUR,89.44,1559.9,90.81
2005,(IT) Italy,(260) Emilia-Romagna,(2) 8 000  < 25 000 EUR,8.19,16.8,9.14
2005,(IT) Italy,(260) Emilia-Romagna,(3) 25 000  < 50 000 EUR,12.2,36.8,14.9
2005,(IT) Italy,(260) Emilia-Romagna,(4) 50 000  < 100 000 EUR,19.03,71.5,23.51
2005,(IT) Italy,(260) Emilia-Romagna,(5) 100 000  < 500 000 EUR,51.16,210.6,58.08
2005,(IT) Italy,(260) Emilia-Romagna,(6) >= 500 000 EUR,180.78,1795.8,192.64
2005,(IT) Italy,(270) Toscana,(1) 2 000  < 8 000 EUR,3.77,5.9,5.58
2005,(IT) Italy,(270) Toscana,(2) 8 000  < 25 000 EUR,8.290000000000001,16.3,11.63
2005,(IT) Italy,(270) Toscana,(3) 25 000  < 50 000 EUR,24.44,36.6,28.7
2005,(IT) Italy,(270) Toscana,(4) 50 000  < 100 000 EUR,41.04,71.9,47.71
2005,(IT) Italy,(270) Toscana,(5) 100 000  < 500 000 EUR,95.77,225.0,114.18
2005,(IT) Italy,(270) Toscana,(6) >= 500 000 EUR,127.62,1053.4,169.62
2005,(IT) Italy,(244) FriuliVenezia Giulia,(1) 2 000  < 8 000 EUR,5.24,6.6,5.51
2005,(IT) Italy,(244) Friuli-Venezia Giulia,(2) 8 000  < 25 000 EUR,8.23,15.4,9.33
2005,(IT) Italy,(244) Friuli-Venezia Giulia,(3) 25 000  < 50 000 EUR,11.3,35.8,14.79
2005,(IT) Italy,(244) Friuli-Venezia Giulia,(4) 50 000  < 100 000 EUR,26.44,74.2,32.13
2005,(IT) Italy,(244) Friuli-Venezia Giulia,(5) 100 000  < 500 000 EUR,41.43,228.8,50.79
2005,(IT) Italy,(244) Friuli-Venezia Giulia,(6) >= 500 000 EUR,47.86,1054.5,66.4
2005,(IT) Italy,(250) Liguria,(1) 2 000  < 8 000 EUR,1.48,6.6,2.56
2005,(IT) Italy,(250) Liguria,(2) 8 000  < 25 000 EUR,1.8,14.5,3.13
2005,(IT) Italy,(250) Liguria,(3) 25 000  < 50 000 EUR,1.65,35.9,2.73
2005,(IT) Italy,(250) Liguria,(4) 50 000  < 100 000 EUR,11.62,71.4,15.04
2005,(IT) Italy,(250) Liguria,(5) 100 000  < 500 000 EUR,12.84,173.4,13.12
2005,(IT) Italy,(282) Umbria,(1) 2 000  < 8 000 EUR,6.84,6.4,8.22
2005,(IT) Italy,(282) Umbria,(2) 8 000  < 25 000 EUR,10.61,14.4,13.3
2005,(IT) Italy,(282) Umbria,(3) 25 000  < 50 000 EUR,25.33,37.0,30.08
2005,(IT) Italy,(282) Umbria,(4) 50 000  < 100 000 EUR,41.83,71.60000000000001,49.23
2005,(IT) Italy,(282) Umbria,(5) 100 000  < 500 000 EUR,91.55,196.9,107.41
2005,(IT) Italy,(282) Umbria,(6) >= 500 000 EUR,37.43,1152.9,43.49
2005,(IT) Italy,(291) Lazio,(1) 2 000  < 8 000 EUR,3.11,7.300000000000002,4.82
2005,(IT) Italy,(291) Lazio,(2) 8 000  < 25 000 EUR,4.54,16.0,6.88
2005,(IT) Italy,(291) Lazio,(3) 25 000  < 50 000 EUR,8.92,36.2,12.44
2005,(IT) Italy,(291) Lazio,(4) 50 000  < 100 000 EUR,23.28,73.0,27.33
2005,(IT) Italy,(291) Lazio,(5) 100 000  < 500 000 EUR,68.19,204.5,76.98
2005,(IT) Italy,(291) Lazio,(6) >= 500 000 EUR,193.68,992.6,202.78
2005,(IT) Italy,(281) Marche,(1) 2 000  < 8 000 EUR,6.25,6.6,7.04
2005,(IT) Italy,(281) Marche,(2) 8 000  < 25 000 EUR,12.52,14.8,13.43
2005,(IT) Italy,(281) Marche,(3) 25 000  < 50 000 EUR,21.92,34.0,24.73
2005,(IT) Italy,(281) Marche,(4) 50 000  < 100 000 EUR,42.52,68.8,44.14
2005,(IT) Italy,(281) Marche,(5) 100 000  < 500 000 EUR,87.46000000000001,180.7,91.03
2005,(IT) Italy,(281) Marche,(6) >= 500 000 EUR,98.89,1501.0,102.45
2005,(IT) Italy,(302) Campania,(1) 2 000  < 8 000 EUR,1.87,7.2,2.61
2005,(IT) Italy,(302) Campania,(2) 8 000  < 25 000 EUR,3.78,16.0,5.53
2005,(IT) Italy,(302) Campania,(3) 25 000  < 50 000 EUR,9.85,35.6,12.97
2005,(IT) Italy,(302) Campania,(4) 50 000  < 100 000 EUR,8.21,72.2,12.7
2005,(IT) Italy,(302) Campania,(5) 100 000  < 500 000 EUR,16.99,231.8,24.05
2005,(IT) Italy,(302) Campania,(6) >= 500 000 EUR,42.98,937.0,52.15
2005,(IT) Italy,(303) Calabria,(1) 2 000  < 8 000 EUR,3.27,7.4,4.5
2005,(IT) Italy,(303) Calabria,(2) 8 000  < 25 000 EUR,3.69,15.5,6.39
2005,(IT) Italy,(303) Calabria,(3) 25 000  < 50 000 EUR,12.12,35.7,16.49
2005,(IT) Italy,(303) Calabria,(4) 50 000  < 100 000 EUR,14.49,70.60000000000001,23.33
2005,(IT) Italy,(303) Calabria,(5) 100 000  < 500 000 EUR,63.04,198.3,88.37
2005,(IT) Italy,(301) Molise,(1) 2 000  < 8 000 EUR,7.99,6.5,8.89
2005,(IT) Italy,(301) Molise,(2) 8 000  < 25 000 EUR,15.43,16.0,16.97
2005,(IT) Italy,(301) Molise,(3) 25 000  < 50 000 EUR,26.27,35.8,27.86
2005,(IT) Italy,(301) Molise,(4) 50 000  < 100 000 EUR,42.01,70.9,44.86
2005,(IT) Italy,(301) Molise,(5) 100 000  < 500 000 EUR,43.08,199.1,53.78
2005,(IT) Italy,(292) Abruzzo,(1) 2 000  < 8 000 EUR,5.13,7.0,6.31
2005,(IT) Italy,(292) Abruzzo,(2) 8 000  < 25 000 EUR,5.56,16.7,8.0
2005,(IT) Italy,(292) Abruzzo,(3) 25 000  < 50 000 EUR,12.66,35.6,16.93
2005,(IT) Italy,(292) Abruzzo,(4) 50 000  < 100 000 EUR,32.47,69.60000000000001,40.19
2005,(IT) Italy,(292) Abruzzo,(5) 100 000  < 500 000 EUR,47.39,180.7,60.62
2005,(IT) Italy,(320) Sicilia,(1) 2 000  < 8 000 EUR,3.85,6.300000000000002,4.92
2005,(IT) Italy,(320) Sicilia,(2) 8 000  < 25 000 EUR,3.82,16.5,6.92
2005,(IT) Italy,(320) Sicilia,(3) 25 000  < 50 000 EUR,10.62,36.0,16.28
2005,(IT) Italy,(320) Sicilia,(4) 50 000  < 100 000 EUR,27.09,70.10000000000001,35.83
2005,(IT) Italy,(320) Sicilia,(5) 100 000  < 500 000 EUR,67.46000000000001,207.5,85.44
2005,(IT) Italy,(320) Sicilia,(6) >= 500 000 EUR,53.56,1512.9,100.29
2005,(IT) Italy,(312) Basilicata,(1) 2 000  < 8 000 EUR,12.74,6.2,14.16
2005,(IT) Italy,(312) Basilicata,(2) 8 000  < 25 000 EUR,15.95,15.8,18.46
2005,(IT) Italy,(312) Basilicata,(3) 25 000  < 50 000 EUR,27.55,33.9,37.25
2005,(IT) Italy,(312) Basilicata,(4) 50 000  < 100 000 EUR,63.96,69.0,81.16
2005,(IT) Italy,(312) Basilicata,(5) 100 000  < 500 000 EUR,122.09,188.6,137.56
2005,(IT) Italy,(330) Sardegna,(2) 8 000  < 25 000 EUR,13.4,17.2,18.15
2005,(IT) Italy,(330) Sardegna,(3) 25 000  < 50 000 EUR,25.11,36.2,40.43
2005,(IT) Italy,(330) Sardegna,(4) 50 000  < 100 000 EUR,54.59,71.4,72.11
2005,(IT) Italy,(330) Sardegna,(5) 100 000  < 500 000 EUR,98.25,197.7,131.03
2005,(IT) Italy,(330) Sardegna,(6) >= 500 000 EUR,84.03,759.1,94.89
2005,(IT) Italy,(311) Puglia,(1) 2 000  < 8 000 EUR,2.36,6.6,4.25
2005,(IT) Italy,(311) Puglia,(2) 8 000  < 25 000 EUR,5.06,15.0,8.83
2005,(IT) Italy,(311) Puglia,(3) 25 000  < 50 000 EUR,7.12,35.8,14.14
2005,(IT) Italy,(311) Puglia,(4) 50 000  < 100 000 EUR,21.14,69.8,35.74
2005,(IT) Italy,(311) Puglia,(5) 100 000  < 500 000 EUR,37.92,179.4,64.15
2006,(IT) Italy,(221) Valle d'Aosta,(2) 8 000  < 25 000 EUR,19.28,16.1,19.67
2006,(IT) Italy,(221) Valle d'Aosta,(3) 25 000  < 50 000 EUR,88.82000000000001,36.1,91.37
2006,(IT) Italy,(221) Valle d'Aosta,(4) 50 000  < 100 000 EUR,139.96,63.7,168.4
2006,(IT) Italy,(222) Piemonte,(1) 2 000  < 8 000 EUR,3.33,6.7,4.02
2006,(IT) Italy,(222) Piemonte,(2) 8 000  < 25 000 EUR,6.09,15.6,8.32
2006,(IT) Italy,(222) Piemonte,(3) 25 000  < 50 000 EUR,15.37,35.8,18.62
2006,(IT) Italy,(222) Piemonte,(4) 50 000  < 100 000 EUR,25.65,70.3,29.62
2006,(IT) Italy,(222) Piemonte,(5) 100 000  < 500 000 EUR,54.69,210.8,63.44
2006,(IT) Italy,(222) Piemonte,(6) >= 500 000 EUR,114.61,1714.6,122.85
2006,(IT) Italy,(241) Trentino,(2) 8 000  < 25 000 EUR,0.27,17.1,2.45
2006,(IT) Italy,(241) Trentino,(3) 25 000  < 50 000 EUR,0.73,38.5,4.77
2006,(IT) Italy,(241) Trentino,(4) 50 000  < 100 000 EUR,2.17,73.60000000000001,8.15
2006,(IT) Italy,(241) Trentino,(5) 100 000  < 500 000 EUR,9.620000000000001,188.7,27.22
2006,(IT) Italy,(243) Veneto,(1) 2 000  < 8 000 EUR,3.7,6.2,4.29
2006,(IT) Italy,(243) Veneto,(2) 8 000  < 25 000 EUR,5.61,15.2,6.67
2006,(IT) Italy,(243) Veneto,(3) 25 000  < 50 000 EUR,9.73,35.6,12.02
2006,(IT) Italy,(243) Veneto,(4) 50 000  < 100 000 EUR,14.33,70.60000000000001,17.36
2006,(IT) Italy,(243) Veneto,(5) 100 000  < 500 000 EUR,31.59,209.8,38.12
2006,(IT) Italy,(243) Veneto,(6) >= 500 000 EUR,81.68,1412.9,91.69
2006,(IT) Italy,(242) Alto Adige,(2) 8 000  < 25 000 EUR,0.25,16.8,6.79
2006,(IT) Italy,(242) Alto Adige,(3) 25 000  < 50 000 EUR,0.2,35.4,7.25
2006,(IT) Italy,(242) Alto Adige,(4) 50 000  < 100 000 EUR,2.56,70.7,10.02
2006,(IT) Italy,(242) Alto Adige,(5) 100 000  < 500 000 EUR,1.26,163.8,19.63
2006,(IT) Italy,(230) Lombardia,(2) 8 000  < 25 000 EUR,8.01,17.0,9.34
2006,(IT) Italy,(230) Lombardia,(3) 25 000  < 50 000 EUR,17.49,35.2,19.84
2006,(IT) Italy,(230) Lombardia,(4) 50 000  < 100 000 EUR,25.67,72.5,28.77
2006,(IT) Italy,(230) Lombardia,(5) 100 000  < 500 000 EUR,49.03,221.9,53.2
2006,(IT) Italy,(230) Lombardia,(6) >= 500 000 EUR,87.18,1651.6,88.60000000000001
2006,(IT) Italy,(260) EmiliaRomagna,(1) 2 000  < 8 000 EUR,4.82,6.300000000000002,5.23
2006,(IT) Italy,(260) Emilia-Romagna,(2) 8 000  < 25 000 EUR,8.83,15.8,9.68
2006,(IT) Italy,(260) Emilia-Romagna,(3) 25 000  < 50 000 EUR,13.55,36.0,16.01
2006,(IT) Italy,(260) Emilia-Romagna,(4) 50 000  < 100 000 EUR,18.14,70.7,22.32
2006,(IT) Italy,(260) Emilia-Romagna,(5) 100 000  < 500 000 EUR,54.34,215.5,63.74
2006,(IT) Italy,(260) Emilia-Romagna,(6) >= 500 000 EUR,170.41,1628.0,182.87
2006,(IT) Italy,(270) Toscana,(1) 2 000  < 8 000 EUR,4.88,6.5,6.81
2006,(IT) Italy,(270) Toscana,(2) 8 000  < 25 000 EUR,8.6,15.8,11.67
2006,(IT) Italy,(270) Toscana,(3) 25 000  < 50 000 EUR,22.81,36.0,27.02
2006,(IT) Italy,(270) Toscana,(4) 50 000  < 100 000 EUR,44.23,72.10000000000001,52.25
2006,(IT) Italy,(270) Toscana,(5) 100 000  < 500 000 EUR,96.06,218.9,112.85
2006,(IT) Italy,(270) Toscana,(6) >= 500 000 EUR,144.14,1031.3,182.26
2006,(IT) Italy,(244) FriuliVenezia Giulia,(1) 2 000  < 8 000 EUR,4.28,6.2,4.51
2006,(IT) Italy,(244) Friuli-Venezia Giulia,(2) 8 000  < 25 000 EUR,8.47,15.8,9.76
2006,(IT) Italy,(244) Friuli-Venezia Giulia,(3) 25 000  < 50 000 EUR,12.18,35.7,16.31
2006,(IT) Italy,(244) Friuli-Venezia Giulia,(4) 50 000  < 100 000 EUR,25.7,71.0,29.35
2006,(IT) Italy,(244) Friuli-Venezia Giulia,(5) 100 000  < 500 000 EUR,40.2,223.5,48.56
2006,(IT) Italy,(244) Friuli-Venezia Giulia,(6) >= 500 000 EUR,68.84,1108.9,86.57000000000001
2006,(IT) Italy,(250) Liguria,(1) 2 000  < 8 000 EUR,1.61,6.800000000000002,2.71
2006,(IT) Italy,(250) Liguria,(2) 8 000  < 25 000 EUR,1.91,14.8,3.27
2006,(IT) Italy,(250) Liguria,(3) 25 000  < 50 000 EUR,1.33,36.1,2.43
2006,(IT) Italy,(250) Liguria,(4) 50 000  < 100 000 EUR,6.71,70.7,9.11
